left_sensor,med_sensor,right_sensor,sampling_time,left_motor,right_motor
1,0,1,0.000974655151367,1.782,1.782
1,1,0,0.000471353530884,1.694,1.936
1,1,0,0.0004723072052,1.694,1.936
1,1,0,0.000456809997559,1.694,1.936
1,0,1,0.000494480133057,1.782,1.782
1,0,1,0.000455617904663,1.782,1.782
1,0,1,0.00095272064209,1.782,1.782
1,0,1,0.000468492507935,1.782,1.782
1,0,1,0.000472068786621,1.782,1.782
1,1,0,0.000472784042358,1.694,1.936
1,1,0,0.000471830368042,1.694,1.936
1,1,1,0.000400304794312,1.694,1.936
1,1,0,0.000971794128418,1.694,1.936
1,1,0,0.000471591949463,1.694,1.936
1,1,1,0.000397205352783,1.694,1.936
1,1,1,0.000293254852295,1.694,1.936
1,1,1,0.000301837921143,1.694,1.936
1,1,1,0.000322818756104,1.694,1.936
1,1,0,0.000982761383057,1.694,1.936
1,1,0,0.000448942184448,1.694,1.936
1,0,1,0.000453233718872,1.782,1.782
0,1,1,0.000467777252197,1.936,1.694
0,1,1,0.000466346740723,1.936,1.694
0,0,1,0.000319004058838,1.936,1.694
1,0,1,0.000452756881714,1.782,1.782
1,0,0,0.00032377243042,1.782,1.782
1,1,0,0.000470161437988,1.694,1.936
1,1,0,0.000447511672974,1.694,1.936
1,0,0,0.000316858291626,1.694,1.936
1,0,1,0.00097918510437,1.782,1.782
0,1,1,0.000530958175659,1.936,1.694
0,0,1,0.000309944152832,1.936,1.694
1,0,0,0.000322103500366,1.936,1.694
1,1,1,0.000299453735352,1.936,1.694
1,1,1,0.00030779838562,1.936,1.694
1,1,1,0.000611782073975,1.936,1.694
1,1,1,0.000301122665405,1.936,1.694
1,1,1,0.000323295593262,1.936,1.694
1,1,1,0.000324010848999,1.936,1.694
1,1,1,0.000301361083984,1.936,1.694
1,1,1,0.000321626663208,1.936,1.694
1,1,1,0.000298738479614,1.936,1.694
1,1,1,0.000324487686157,1.936,1.694
1,1,1,0.000298261642456,1.936,1.694
1,1,1,0.000297546386719,1.936,1.694
1,1,1,0.000300884246826,1.936,1.694
1,1,1,0.000648021697998,1.936,1.694
1,1,1,0.000302076339722,1.936,1.694
1,1,1,0.000320434570313,1.936,1.694
